"_time","marks.actions{}.context.cmp",count,"dc(marks.actions{}.context.cmp)"
"2019-05-12T00:00:00.000+0000","c:CallingContactView",1,4
"2019-05-12T00:00:00.000+0000","c:SystemNotifications",65,5
"2019-05-12T00:00:00.000+0000","flexipage:page",32,10
"2019-05-12T00:00:00.000+0000","flexipage:visualforcePage",1,5
"2019-05-12T00:00:00.000+0000","force:createRecordTypeChecker",1,2
"2019-05-12T00:00:00.000+0000","force:detailPanel",11,9
"2019-05-12T00:00:00.000+0000","force:filterList",22,8
"2019-05-12T00:00:00.000+0000","force:fingerprint",4,2
"2019-05-12T00:00:00.000+0000","force:hostConfig",2,5
"2019-05-12T00:00:00.000+0000","force:listViewDataManager",122,20
"2019-05-12T00:00:00.000+0000","force:listViewManager",66,9
"2019-05-12T00:00:00.000+0000","force:listViewManagerGrid",60,6
"2019-05-12T00:00:00.000+0000","force:listViewPickerDataProvider",2,5
"2019-05-12T00:00:00.000+0000","force:quickActionLayout",1,7
"2019-05-12T00:00:00.000+0000","force:recordGlobalValueProvider",658,20
"2019-05-12T00:00:00.000+0000","force:recordHome",363,11
"2019-05-12T00:00:00.000+0000","force:recordLayoutBroker",221,12
"2019-05-12T00:00:00.000+0000","force:recordLayoutTemplate",16,8
"2019-05-12T00:00:00.000+0000","force:relatedCardContainer",65,10
"2019-05-12T00:00:00.000+0000","force:socialPhotoController",13,9
"2019-05-12T00:00:00.000+0000","force:virtualRecordList",20,7
"2019-05-12T00:00:00.000+0000","forceChatter:feed",7,5
"2019-05-12T00:00:00.000+0000","forceChatter:feedInner",5,5
"2019-05-12T00:00:00.000+0000","forceChatter:recordFeedActions",83,10
"2019-05-12T00:00:00.000+0000","forceContent:fileBadge",1,2
"2019-05-12T00:00:00.000+0000","forceSearch:mru",255,3
"2019-05-12T00:00:00.000+0000","forceSearch:scopesRibbonDataProvider",88,3
"2019-05-12T00:00:00.000+0000","forceSearch:searchScopeHeader",89,4
"2019-05-12T00:00:00.000+0000","laf:platformPageResolver",5,7
"2019-05-12T00:00:00.000+0000",none,43,16
"2019-05-12T00:00:00.000+0000","one:actionBar",905,17
